Precinct,Mondale,Reagan,Total,demPERC,repPERC,CODE
2191,72.4995916679589,169.994545349139,247.795141394882,29.2578745732649%,68.6028565339135%,14
2193,87.4259781878327,164.580706325281,257.277811130127,33.9811574903418%,63.9700351936058%,13
2194,52.2423528195586,66.0488360910666,119.35320095613,43.7712205462852%,55.3389733680824%,12
2197,154.594717527265,471.003995075639,638.323533640598,24.2188654154036%,73.7876594317817%,15
2200,66.1025688737272,334.575251674419,403.875622745949,16.3670608352879%,82.8411602066109%,17
2201,69.301080270843,268.526415583353,338.89342992013,20.4492250815177%,79.2362412120645%,16
2203,85.2936372564222,180.822223396854,270.358775005984,31.5483147364218%,66.882320868946%,14
2204,47.9776709567375,215.470793149545,265.563432347551,18.0663695044985%,81.1372225629136%,17
2205,117.278751227581,325.913109236247,449.515943276604,26.0900092603423%,72.5031256645997%,15
2207,121.543433090402,341.071858503049,464.74323770489,26.1528136892616%,73.3893106626821%,15
2212,49.0438414224428,219.801864368631,269.907717836579,18.1705961635885%,81.4359315585464%,17
2213,120.477262624696,362.72721459848,487.460369446055,24.7152938323181%,74.41163165955%,15
2217,72.4995916679589,217.636328759088,294.374912759326,24.6283186934591%,73.9316834845306%,15
2218,62.9040574766114,198.1465082732,265.27265819149,23.7129819203619%,74.6954132491731%,15
2219,139.668331007391,316.168198993302,457.947576221533,30.4987597400944%,69.0402603725879%,14
2222,125.808114953223,243.622756073606,376.829943755282,33.3859124090532%,64.6505831372619%,13
2223,94.8891714477697,232.79507802589,330.870285610176,28.6786621750513%,70.3584117856277%,15
2225,95.955341913475,193.815437054113,289.770778967588,33.1142229921699%,66.88577700783%,14
2228,108.749387501938,247.953827292693,364.132165283854,29.865361500587%,68.0944588071214%,14
2229,75.6981030650747,324.830341431475,403.688524892724,18.7516113035887%,80.4655870557121%,17
2230,110.881728433349,358.396143379394,471.401895903753,23.5216975996185%,76.0277263400248%,16
2231,75.6981030650747,423.362211665689,503.320128974071,15.0397527751119%,84.1139043114842%,17
2234,78.8966144621905,410.36899800843,490.331546536555,16.090462671528%,83.6921468559511%,17
2235,76.76427353078,212.22248973523,295.3328797987,25.9924575899246%,71.8587411871925%,15
2236,75.6981030650747,301.0094497265,380.946545123854,19.8710564602873%,79.0161910061779%,16
2237,86.3598077221275,461.259084832695,552.932874802777,15.6184975894101%,83.4204486389454%,17
2244,87.4259781878327,367.058285817567,456.616132137268,19.1464935280803%,80.386622369098%,17
2271,79.9627849278958,250.119362902236,333.279950027934,23.9926779037244%,75.0478277739997%,16
2275,95.955341913475,352.982304355536,454.234728626367,21.1246159455156%,77.7092287555766%,16
2276,115.14641029617,491.576583366299,614.155866172121,18.7487275850426%,80.0410140881943%,17
2277,58.6393756137903,256.615969730865,317.379369435666,18.4761144739991%,80.854647290766%,17
2279,59.7055460794955,236.043381440205,300.004819742579,19.9015289590101%,78.6798630911142%,16
2305,58.6393756137903,199.229276077971,262.120621894211,22.3711416484646%,76.0067157777375%,16
2307,57.573205148085,148.339189253707,206.978328467726,27.8160547407563%,71.6689473491605%,15
2317,67.1687393394325,181.904991201626,250.135742586564,26.8529153990008%,72.7225103140446%,15
2321,104.484705639117,328.07864484579,433.625362530412,24.0956167852818%,75.6594685632071%,16
2332,40.5144776968005,186.236062420712,235.266246583699,17.2206928469813%,79.1597031554869%,16
2335,26.6542616426319,99.6146380389857,128.383867922886,20.761379193406%,77.59124230376%,16
2336,85.2936372564222,305.340520945587,391.696170247514,21.7754585658892%,77.9534098463718%,16
2337,89.5583191192433,190.567133639799,285.447279047855,31.374732110944%,66.7608863799506%,14
2338,59.7055460794955,206.808650711372,270.770089013747,22.0502738308234%,76.3779527733849%,16
2340,137.535990075981,302.092217531272,446.01204594157,30.8368330693021%,67.7318517022403%,14
2341,111.947898899054,399.541319960714,515.728211192047,21.7067626842245%,77.4712942379514%,16
2344,95.955341913475,408.203462398887,511.587754801585,18.7563797242744%,79.7914841720958%,16
2345,67.1687393394325,311.837127774216,383.244859445927,17.5263249288043%,81.3675956997967%,17
2347,121.543433090402,252.284898511779,377.009233909383,32.2388477942734%,66.9174322060286%,14
2348,70.3672507365483,203.560347297058,277.117556190551,25.3925632514464%,73.4563158304869%,15
2349,104.484705639117,164.580706325281,269.065411964398,38.8324552294897%,61.1675447705103%,13
2352,141.800671938802,423.362211665689,569.414853806941,24.9028754678183%,74.3503982790778%,15
2353,110.881728433349,225.215703392489,337.163365891772,32.8866477353122%,66.7972046123132%,14
2355,42.6468186282111,113.690619501016,157.399450174733,27.094642694665%,72.2306331914154%,15
2356,91.6906600506539,308.588824359901,411.965538931542,22.2568762155347%,74.9064655165685%,15
2357,134.337478678865,349.734000941221,492.575420024986,27.2724689900383%,71.0011069824557%,15
2358,105.550876104822,293.430075093099,407.455013842051,25.904915271392%,72.0153305579021%,15
2359,148.197694733034,354.065072160308,508.646605227659,29.1356893391049%,69.6092470727955%,14
2361,54.3746937509691,184.070526811169,239.507232607644,22.7027355954818%,76.8538489661019%,16
2362,115.14641029617,275.023022411982,391.235366774086,29.431493181612%,70.296053416559%,15
2363,119.411092158991,385.465338498684,515.524005255729,23.1630517573583%,74.7715595333861%,15
2365,108.749387501938,251.202130707007,364.207410431824,29.8591913253492%,68.9722733563186%,14
2366,84.2274667907169,229.546774611576,314.823275577627,26.7538880777411%,72.9128982570972%,15
2367,105.550876104822,359.478911184166,468.206767575762,22.5436459731955%,76.7778118726141%,16
2368,63.9702279423166,194.898204858885,267.363317356359,23.9263293763867%,72.8963893723357%,15
2369,83.1612963250116,234.960613635434,322.381724203753,25.7959090362243%,72.8827337268453%,15
2371,136.469819610275,297.761146312185,437.407946209235,31.1996663053292%,68.0740139480114%,14
2373,57.573205148085,279.354093631069,340.104279065927,16.928103729305%,82.1377768013669%,17
2374,83.1612963250116,223.050167782946,308.335488198968,26.9710427465773%,72.3400893895848%,15
2375,85.2936372564222,120.187226329646,208.627966112071,40.8831274377684%,57.6083966926484%,12
2376,47.9776709567375,171.07731315391,228.61188071131,20.9865168894365%,74.8330806875018%,15
2377,43.7129890939164,155.918563887108,200.69356502653,21.7809619795921%,77.6898670699765%,16
2378,93.8230009820644,224.132935587718,319.004970745116,29.4111407615114%,70.2600135239897%,15
2379,70.3672507365483,267.443647778581,341.000856672074,20.6355055595117%,78.4290251903297%,16
2381,103.418535173412,193.815437054113,300.414874534728,34.4252378759817%,64.5159256359352%,13
2382,123.675774021812,346.485697526907,475.479375817103,26.0107546850539%,72.8708152549156%,15
2383,103.418535173412,276.105790216754,383.776295592615,26.9476088964058%,71.9444617574414%,15
2384,87.4259781878327,381.134267279597,471.754125644804,18.5321067554708%,80.7908710408529%,17
2386,50.110011888148,82.2903531626404,134.528311162228,37.2486738703798%,61.1695430141885%,13
2387,41.5806481625058,175.408384372997,221.244924758381,18.7939444070482%,79.2824443609536%,16
2388,137.535990075981,413.617301422745,555.405261701175,24.7631773697491%,74.4712608872049%,15
2389,126.874285418928,422.279443860918,553.375821721525,22.9273272229763%,76.3097026081167%,16
2390,70.3672507365483,229.546774611576,305.215029725908,23.0549756346338%,75.2082146209234%,16
2391,84.2274667907169,382.217035084369,477.084232432282,17.6546322567205%,80.1152100826601%,17
2392,74.6319325993694,311.837127774216,389.65901853053,19.1531387829336%,80.0282074697531%,17
2393,93.8230009820644,252.284898511779,354.602784049001,26.4586193911832%,71.1457748952464%,15
2394,61.8378870109061,137.511511205991,200.411410262402,30.8554722158487%,68.6146118257164%,14
2395,79.9627849278958,413.617301422745,497.815156662491,16.0627461534099%,83.0865223541535%,17
2397,61.8378870109061,302.092217531272,364.992116587683,16.9422527776845%,82.7667787336167%,17
2398,95.955341913475,421.196676056146,520.345898146994,18.4406838326548%,80.945516733402%,17
2399,78.8966144621905,232.79507802589,313.81963859952,25.1407511697744%,74.1811694974803%,15
2400,103.418535173412,328.07864484579,436.815084287586,23.6755869688155%,75.1069861474364%,16
2402,86.3598077221275,260.947040949952,350.492884808595,24.6395323457961%,74.4514517298848%,15
2403,58.6393756137903,436.355425322948,501.370795230199,11.695810001631%,87.0324776541083%,18
2405,68.2349098051378,194.898204858885,263.133114664023,25.9317075664393%,74.0682924335606%,15
2411,65.0363984080219,176.491152177768,243.6515746768,26.6923776274755%,72.4358758657237%,15
2414,124.741944487517,315.085431188531,443.004355962822,28.1581756044822%,71.1246801408367%,15
2419,139.668331007391,310.754359969444,451.47172515217,30.9362299400511%,68.8314112837749%,14
2420,83.1612963250116,233.877845830662,317.039142155674,26.2306085487001%,73.7693914512998%,15
2421,79.9627849278958,259.86427314518,345.131984471289,23.1687552952797%,75.2941729070021%,16
2422,78.8966144621905,361.644446793709,446.911921720046,17.6537278662288%,80.9207428170265%,17
2423,86.3598077221275,314.002663383759,403.50957363189,21.4021706956849%,77.8178967496356%,16
2424,71.4334212022536,339.989090698277,412.488445966465,17.3176780830513%,82.4239064203795%,17
2425,91.6906600506539,345.402929722135,443.456606196078,20.6763545225239%,77.8887775931367%,16
2426,86.3598077221275,231.712310221119,321.258154079762,26.8817480974152%,72.1265148537178%,15
2427,84.2274667907169,206.808650711372,296.354021770473,28.4212329184961%,69.7843239905635%,14
2428,46.9115004910322,189.484365835027,237.457878371565,19.7557144924991%,79.797043220663%,16
2429,154.594717527265,279.354093631069,437.138769315278,35.3651353709528%,63.9051288149622%,13
2431,76.76427353078,197.063740468428,274.893948065142,27.9250503952852%,71.6871876792753%,15
2432,87.4259781878327,267.443647778581,363.343688610543,24.0615100601188%,73.6062455911394%,15
2433,110.881728433349,256.615969730865,370.670756430559,29.913805313671%,69.2301632321888%,14
2435,157.793228924381,454.762478004065,616.798621281154,25.5826169968779%,73.7294900334694%,15
2436,49.0438414224428,100.697405843757,150.790281441534,32.5245373598289%,66.7797718003467%,14
2437,76.76427353078,256.615969730865,334.44225530715,22.9529230570103%,76.7295297345697%,16
2438,84.2274667907169,346.485697526907,433.907044494997,19.4114080099218%,79.8525172436794%,16
2440,81.0289553936011,319.416502407617,404.701350024097,20.0219137862467%,78.9264731606648%,16
2441,90.6244895849486,367.058285817567,466.164682087502,19.4404452047137%,78.7400461514731%,16
2442,91.6906600506539,259.86427314518,355.806903398284,25.7697810736452%,73.0351970867447%,15
2444,129.006626350339,317.250966798074,452.61155372196,28.5027249723254%,70.0934309319381%,15
2445,74.6319325993694,151.587492668022,227.268459442725,32.8386670030549%,66.6997492919708%,14
2446,114.080239830465,291.264539483556,411.72469562791,27.7078934156438%,70.7425477695372%,15
2448,89.5583191192433,191.64990144457,281.208220563814,31.8476888547858%,68.1523111452139%,14
2449,92.7568305163591,202.477579492286,295.234410008645,31.418028309655%,68.581971690345%,14
2450,202.572388484003,362.72721459848,566.361615127988,35.7673230446991%,64.0451621207609%,13
2451,119.411092158991,451.51417458975,575.160337060591,20.7613572189717%,78.5023141368291%,16
2452,97.0215123791802,331.326948260105,430.472484730295,22.5383772066099%,76.9682058698112%,16
2453,93.8230009820644,422.279443860918,519.283347150184,18.0677854387134%,81.3196583673208%,17
2456,65.0363984080219,422.279443860918,489.443788380379,13.287817713089%,86.2774140536721%,18
2457,172.719615444255,401.706855570258,578.682363237391,29.8470501983142%,69.4175045050521%,14
5301,74.6319325993694,323.747573626703,404.75036669022,18.4390030847062%,79.9869747553525%,16
5302,85.2936372564222,422.279443860918,508.639015183274,16.7689922932257%,83.0214417800336%,17
5303,100.220023776296,396.2930165464,499.68609858904,20.0565963430415%,79.3083933424223%,16
5304,57.573205148085,137.511511205991,196.15065042001,29.351523956105%,70.1050498234611%,15
5305,130.072796816044,396.2930165464,530.613861544464,24.5136447128312%,74.6857640305335%,15
5306,83.1612963250116,257.698737535637,346.157116218004,24.0241475413257%,74.445598678186%,15
5307,88.492148653538,345.402929722135,442.37698506066,20.0037867343853%,78.0788651730542%,16
5308,178.050467772781,384.382570693912,570.940900892022,31.1854462510218%,67.3244060976125%,14
5309,62.9040574766114,242.539988268835,308.624948052648,20.3820390650599%,78.5872917271291%,16
5310,86.3598077221275,322.664805821932,411.122681894728,21.0058485034501%,78.4838249096053%,16
5311,135.40364914457,400.624087765486,541.34564117844,25.0124206874214%,74.0052301692831%,15
5312,85.2936372564222,342.15462630782,435.935304078542,19.5656640924533%,78.4874780974781%,16
5313,76.76427353078,245.788291683149,323.618499279863,23.7206073514341%,75.9500128175902%,16
5314,120.477262624696,407.120694594115,530.783993355327,22.697983385502%,76.7017656317252%,16
5315,66.1025688737272,251.202130707007,320.481679867508,20.6260054868207%,78.382680348798%,16
5317,83.1612963250116,428.776050689547,516.193239237437,16.1104970006706%,83.0650264468729%,17
5318,82.0951258593064,421.196676056146,505.419748026892,16.242959674567%,83.3360148075843%,17
5338,95.955341913475,360.561678988937,460.756013234691,20.8256298685784%,78.254362098858%,16
5339,82.0951258593064,354.065072160308,439.34623415613,18.6857470206817%,80.5890763671561%,17
5340,83.1612963250116,389.79640971777,477.21359826566,17.4264305600773%,81.6817482013105%,17
5341,98.0876828448855,389.79640971777,490.008116653666,20.0175628752315%,79.5489700006898%,16
5342,91.6906600506539,384.382570693912,479.263188901511,19.131588274245%,80.2028154039811%,17
5343,109.815557967644,399.541319960714,511.484824039797,21.4699542989959%,78.1140126123521%,16
5344,63.9702279423166,250.119362902236,317.279549001497,20.1621025192565%,78.8324881604821%,16
5380,153.52854706156,640.998540424777,799.828091864122,19.1951931450342%,80.1420388887357%,17
5381,146.065353801623,424.444979470461,570.510333272084,25.602578127531%,74.397421872469%,15
5383,89.5583191192433,387.630874108227,477.18919322747,18.7678850213508%,81.2321149786492%,17
5384,54.3746937509691,297.761146312185,356.387810265604,15.257169910061%,83.5497561182784%,17
5385,143.933012870212,360.561678988937,507.667750125495,28.3518133335497%,71.0231601081232%,15
5386,86.3598077221275,393.044713132085,481.528544945223,17.9345147091854%,81.6243849420799%,17
5388,104.484705639117,305.340520945587,413.002206871477,25.2988250185384%,73.9319344704147%,15
5390,62.9040574766114,238.208917049748,302.174986571865,20.8170961436119%,78.8314478813076%,16
5392,20.2572388484003,107.194012672387,129.575275611798,15.6335680188635%,82.7272117819264%,17
5397,90.6244895849486,407.120694594115,499.869208270074,18.1296403310334%,81.4454436997752%,17
7022,97.0215123791802,362.72721459848,467.147799706113,20.7689113467338%,77.6472060505637%,16
7096,110.881728433349,266.36087997381,381.498500630037,29.0647874762889%,69.8196400599008%,14
7098,92.7568305163591,314.002663383759,411.015386122997,22.5677270603688%,76.3968148116463%,16
7099,77.8304439964852,315.085431188531,399.274969587877,19.4929434411629%,78.9143961400223%,16
7100,136.469819610275,244.705523878378,385.397435930332,35.4101524523232%,63.4943310631193%,13
7101,120.477262624696,206.808650711372,329.417781467937,36.5727867171682%,62.7800508490466%,13
7102,136.469819610275,302.092217531272,439.624049187053,31.0423917578288%,68.716035460275%,14
7103,130.072796816044,269.609183388124,401.780048554837,32.3741303939563%,67.1036763417899%,14
7104,114.080239830465,350.816768745993,467.021032667468,24.4272167313058%,75.1179806061935%,16
7105,72.4995916679589,279.354093631069,356.101733481048,20.3592358170358%,78.4478331234904%,16
7106,106.617046570528,265.278112169038,375.08511689651,28.4247606123878%,70.724776915697%,15
7107,87.4259781878327,180.822223396854,274.611218007977,31.8362734130159%,65.8466266267394%,14
7108,137.535990075981,337.823555088734,481.709583717833,28.5516408069938%,70.1301295443227%,15
7109,134.337478678865,299.926681921729,438.523974843901,30.6340100850095%,68.3945916590974%,14
7111,89.5583191192433,223.050167782946,317.918547129716,28.1702089820831%,70.1595329359435%,15
7112,89.5583191192433,238.208917049748,334.130252592281,26.8034152622887%,71.2922326552753%,15
7113,102.352364707707,224.132935587718,332.869138629742,30.7485293256807%,67.3336484452607%,14
7115,119.411092158991,241.457220464063,364.058270779999,32.7999943259499%,66.3237838126128%,14
7116,124.741944487517,296.678378507414,432.013275900757,28.8745627613937%,68.6734401596417%,14
7117,69.301080270843,187.318830225484,259.800812803529,26.6746972509478%,72.1009407954168%,15
7118,88.492148653538,224.132935587718,315.822886439058,28.0195490742605%,70.9679206959459%,15
7119,89.5583191192433,332.409716064876,423.030047229625,21.1706756306675%,78.5782755248212%,16
7121,123.675774021812,452.596942394522,580.520764598355,21.3042808395286%,77.9639540900247%,16
7122,131.138967281749,329.161412650561,465.597462289666,28.1657392711824%,70.6965650181695%,15
7124,76.76427353078,207.891418516144,291.022630490642,26.3774241203721%,71.4347946637878%,15
7126,144.999183335918,347.568465331678,497.86865304538,29.1239832933811%,69.8112771723344%,14
7127,111.947898899054,290.181771678784,407.434596976051,27.4762869255392%,71.2216816717312%,15
7128,97.0215123791802,335.658019479191,436.93542408125,22.2050003345892%,76.8209673511786%,16
7131,91.6906600506539,315.085431188531,412.077095616969,22.2508508786136%,76.4627382933719%,16
7132,113.014069364759,342.15462630782,457.279741893419,24.7144272993182%,74.8239195751576%,15
7135,87.4259781878327,286.93346826447,377.536426739076,23.1569649961896%,76.0015320224388%,16
7138,132.205137747454,305.340520945587,441.805472936348,29.9238343221025%,69.1119824560386%,14
7140,129.006626350339,337.823555088734,470.024061616446,27.4468132347685%,71.8736725790026%,15
7141,108.749387501938,318.333734602846,434.519916634865,25.0274805224457%,73.2610226633979%,15
7143,75.6981030650747,242.539988268835,320.36211542492,23.6289184707969%,75.7080742668765%,16
7144,107.683217036233,221.967399978175,333.880553496944,32.2520182467646%,66.4810806299944%,14
7145,138.602160541686,277.188558021525,418.971620870414,33.0815152238092%,66.1592681255273%,14
7146,85.2936372564222,253.367666316551,338.661303572973,25.1855279468159%,74.8144720531842%,15
7147,73.5657621336641,268.526415583353,349.499094486327,21.0489135148652%,76.8317915037855%,16
7148,130.072796816044,374.637660450968,506.84232539888,25.6633651725274%,73.9160172063633%,15
7149,75.6981030650747,302.092217531272,382.042290798796,19.8140637537276%,79.0729782557947%,16
7151,153.52854706156,370.306589231881,531.234209021894,28.9003502512077%,69.7068417174579%,14
7152,113.014069364759,331.326948260105,447.514075891209,25.253746296068%,74.0372127067241%,15
7153,126.874285418928,362.72721459848,494.919404285792,25.6353427083785%,73.2901582474674%,15
7157,90.6244895849486,254.450434121322,348.247981972615,26.0229762342384%,73.0658746907918%,15
7158,134.337478678865,286.93346826447,422.33295898884,31.8084288284057%,67.9401079545042%,14
7160,119.411092158991,314.002663383759,441.899584248166,27.0222232415433%,71.0574697457553%,15
7162,106.617046570528,295.595610702642,407.534483561983,26.1614785670799%,72.5326622962162%,15
7163,126.874285418928,279.354093631069,409.418337206941,30.9889113136619%,68.231944747963%,14
7164,53.3085232852639,164.580706325281,221.062287876889,24.1147071249673%,74.4499244561049%,15
7165,78.8966144621905,289.099003874013,369.061552402137,21.3776303569609%,78.3335468006174%,16
7166,154.594717527265,323.747573626703,482.602105397276,32.0335771017831%,67.0837466322687%,14
7167,120.477262624696,281.519629240612,408.372886158768,29.5017780827537%,68.9369051624946%,14
7168,76.76427353078,228.464006806804,307.343248578852,24.9767235446805%,74.3351311158505%,15
7170,89.5583191192433,275.023022411982,367.775221708599,24.3513738373064%,74.7801934927232%,15
7171,74.6319325993694,193.815437054113,273.748374031267,27.2629683604422%,70.8005801824327%,15
7172,37.3159662996847,67.1316038958382,104.447570195523,35.726983624253%,64.2730163757469%,13
